ISO,Country,Today,Tomorrow,After Tomorrow
AED,United Arab Emirates,Never possible,14.00,Always possible
AUD,Australia,Never possible,14.00,Always possible
BGN,Bulgaria,Never possible,14.00,Always possible
CAD,Canada,15.30,Always possible,Always possible
CHF,Switzerland,10.00,Always possible,Always possible
CNH,China (Hong Kong),Never possible,14.00,Always possible
CZK,Czech Republic,11.00,Always possible,Always possible
DKK,Denmark,15.30,Always possible,Always possible
EUR,Euro Area,16.00,Always possible,Always possible
GBP,United Kingdom,15.30,Always possible,Always possible
HKD,Hong Kong,Never possible,14.00,Always possible
HRK,Croatia,Never possible,14.00,Always possible
HUF,Hungary,11.00,Always possible,Always possible
ILS,Israel,Never possible,14.00,Always possible
JPY,Japan,Never possible,15.30,Always possible
MXN,Mexico,11.00,Always possible,Always possible
NOK,Norway,15.00,Always possible,Always possible
NZD,New Zealand,Never possible,14.00,Always possible
PLN,Poland,10.00,Always possible,Always possible
RON,Romania,Never possible,14.00,Always possible
RUB,Russia,Never possible,13.00,Always possible
RSD,Serbia,Never possible,Never possible,Always possible
SAR,Saudi Arabia,Never possible,14.00,Always possible
SEK,Sweden,15.30,Always possible,Always possible
SGD,Singapore,Never possible,14.00,Always possible
THB,Thailand,Never possible,9.00,Always possible
TRY,Turkey,Never possible,14.00,Always possible
USD,United States,16.00,Always possible,Always possible
ZAR,South Africa,Never possible,14.00,Always possible
